,course_review_id,course_id,rating,user
175,97305850,1508964,4.5,Marek Hejna
176,97300796,1508964,5.0,Marcin Tokarski
177,97277812,1508964,5.0,Ruanke
178,39455334,1433138,4.0,Dean
179,24911352,1433138,4.0,Mohamed
180,23331946,1433138,5.0,Bagus Dwipa Mustikajati
181,20520280,1433138,5.0,Vijay Panchal
182,19047410,1433138,5.0,Ishita Karvir
183,73628044,1546126,4.0,Robert Hauptmann
184,67084392,1546126,5.0,Luis Julian Reyes Anguiano
185,60471598,1546126,2.5,Skylar Bolton
186,56843748,1546126,5.0,Andi Ulfiana
187,56751888,1546126,5.0,Natalie Madelin
188,54512748,1546126,5.0,Peter Kevinson
189,52242672,1546126,2.5,Win Min Latt
190,51992866,1546126,3.5,Alan Meehan
191,47765652,1546126,1.0,Harshit kumar arya
192,47368230,1546126,5.0,Manuel Vichique
193,97326314,1550502,5.0,Chin Hung Vui
194,97045140,1550502,5.0,Gia Thinh Le Nguyen
195,96949848,1550502,5.0,Tanim
196,96596444,1550502,5.0,Roberta Andrea Mirci
197,96152156,1550502,5.0,Albert Schreiner
198,96114962,1550502,5.0,Vladimir Roncevic
199,96000876,1550502,3.0,Fahad Ausaf
200,95033656,1550502,5.0,Nguyen Thanh Vinh
201,94895452,1550502,5.0,Gökay Cömert
202,94877506,1550502,4.0,Mikko Pesonen
203,92080042,1581092,4.0,Vinay Peter Sajeev
204,91215052,1581092,1.0,Kalpesh Korat
205,88570622,1581092,5.0,Coleton Moore
206,85465966,1581092,5.0,Martin Stoyanov
207,80604316,1581092,4.0,Pedro Miguel dos Santos Rodrigues
208,77946664,1581092,1.5,Abhay Raj Singh
209,77277820,1581092,3.5,Olwethu Mbane
210,70327314,1581092,1.0,Siva Kumar
211,63114024,1581092,3.0,Ilanko Nallathamby
212,62860252,1581092,5.0,Olugbenga Ademodi
213,91895016,1380770,3.0,T M
214,86149854,1380770,5.0,ECdept
215,77916468,1380770,4.0,Majdi RICHA
216,77554536,1380770,1.0,Mohd Irfan
217,76492798,1380770,5.0,Shankar Arora
218,73826092,1380770,4.5,Rahul Kumar Pal
219,72174762,1380770,3.5,David Jefferson
220,71488842,1380770,2.5,Michael Astahov
221,69985758,1380770,3.5,Rajlee Dhabekar
222,68818435,1380770,4.5,Gnana Deepika Veerapaneni
223,85863576,1394884,4.5,R Ch Sai vamsi
224,71835142,1394884,5.0,Kavya M R
225,67161310,1394884,4.5,Dhairya Bhatt
226,40275630,1394884,5.0,Dan Jin
227,36619944,1394884,1.0,Marselle Walker
228,36113272,1394884,5.0,Sahil Bachhawat
229,26951926,1394884,5.0,Harika Paladugu
230,26739334,1394884,5.0,DIVYA TEKUMUDI
231,26020578,1394884,5.0,Hector Torres
232,10421760,1394884,4.5,Gunther Lieben
233,97497984,1453872,4.5,Alok Kumar
234,97495138,1453872,5.0,Sultana Khatoon
235,97487154,1453872,4.5,Nilesh Chaudhari
236,97469386,1453872,4.5,Viswanadh Reddy Dontireddy
237,97463488,1453872,5.0,Himanshu Verma
238,97457118,1453872,5.0,Harikirshnakishore
239,97455656,1453872,5.0,Prashant
240,97446284,1453872,4.0,Shri Vignesh R
241,97442792,1453872,5.0,Meenal Dhawale
242,97405148,1453872,5.0,Dipen Bhattacharyya
243,39665706,1187670,4.0,Salvador Benavidez
244,35193572,1187670,3.5,Bhushana Samyuel Neelam
245,10781042,1187670,5.0,Mohamed
246,96538716,1301178,5.0,Michael Allison
247,92930288,1301178,2.5,Dominic Christopher Fernandes
248,86951552,1301178,4.5,Subhankar Mukherjee
249,86101036,1301178,3.0,Manjunath Sagar
250,84781864,1301178,4.0,Akanksha
251,84637872,1301178,5.0,Dickson
252,82112260,1301178,5.0,Robert Mng'anya
253,78351302,1301178,3.0,Joon
254,75907474,1301178,5.0,Bart K
255,75899200,1301178,5.0,Rodrigo
256,92858372,1297988,4.0,Ruchi Kuhwaha
257,88198544,1297988,5.0,Deron Kosloski
258,67294402,1297988,5.0,Harshal Tirse
259,63552988,1297988,3.5,Mantis Montego
260,59645038,1297988,4.5,A Keerthi
261,57486855,1297988,4.5,Govardhan reddy
