,id,title,published_title,price,headline,is_paid,instructor_name,instructor_job,category
319,706728,Banking And Credit Card Transactions In QuickBooks,banking-with-quickbooks,$19.99,Learn Every Possible Banking And Credit Card Related Transaction In QuickBooks,True,Mark,Professor of Computerized Accounting,Business
320,700084,"How to Succeed at Street Fairs, Festivals, & Craft Shows",how-to-succeed-at-street-fairs-festivals-and-craft-shows,$19.99,"A complete, step-by-step guide on how to promote your products at street fairs, festivals and craft shows.",True,Andy,Fr Registered Investment Advisor (RIA) - Trainer and Speaker,Business
321,739992,From 0 To 1:SQL And Databases - Heavy Lifting,sql-and-databases,$89.99,"Your bodyguard for when data gets too big​, this course is strong but friendly, funny yet deep, animated yet thoughtful.",True,Loony,"An ex-Google, Stanford and Flipkart team",Business
322,1484840,TripAdvisor Domination For Hospitality & Hotel Management,tripadvisor-domination-for-hotels,$119.99,Hotel Management: Improve Your TripAdvisor Ranking And get more Customers in 2021,True,António,Digital Marketing &  SEO Specialist,Business
323,1459334,Professional Business Presentations: The Complete Guide,professional-corporate-presentations-the-complete-guide,$119.99,"Does your job involve creating slides and delivering presentations? If so, then this is the #1 course for you!",True,365,Creating opportunities for Business & Finance students,Business
324,1507884,Open House Master Class For Real Estate Agents,open-house-master-class-for-real-estate-agents,$89.99,Become the #1 Open House Master In your area.,True,William,"""GET SOLD NOW""",Business
325,1578084,eBay SEO for eBay: Create a Professional eBay Listing Fast,ebay-seo,$89.99,Learn eBay SEO from a Powerseller on How to Optimize Your eBay Listings to Help You Sell Your Items Faster,True,Brennan,Entrepreneur,Business
326,1463286,Construction Delay Analysis Techniques (Incl. TIA) - MSP,construction-delay-analysis,$89.99,"MS Project Based Construction Delay Analysis Training By N.M.Raj, An Internationally Renowned Claims Consultant.",True,N.M.,Construction Claims & Contract Administration Specialist,Business
327,1452044,Pneumatic Control,pneumatic-control-contents-fluidsim-practice,$49.99,Learn Pneumatic and Hydraulic System with FluidSim Practice,True,Sahin,Makine Mühendisi,Business
328,1500932,Present like a management consultant,present-like-a-management-consultant,$89.99,"Unlock the secrets to creating amazing presentations like the one from top 3 consulting firms McKinsey, Bain, and BCG",True,Eric,Data scientist | Top tier consultant,Business
329,1427152,Fiverr: Start Freelancing & Become a Top Rated Fiverr Seller,fiverr-start-freelancing-become-a-top-rated-fiverr-seller,$119.99,The Only Course You'll Need to Start a Thriving Fiverr Freelancing Home Business in Days - Taught by a Top Rated Seller!,True,Sasha,Digital Marketing Strategist,Business
330,1556046,How To Become A Successful Film Director,how-to-become-a-film-director,$89.99,Learn from one of London's top production companies!,True,ESA,Filming and Business,Business
331,1407498,Real Estate Agent Success,formoregci,$59.99,How to Launch and Grow your real estate business,True,John,Hall of Fame Agent / Founder of More GCI,Business
332,1347016,Delivering Organisational Change,organisational-change,$49.99,How to prepare for change so that the transition goes smoothly,True,Skill,Films for a better workplace,Business
333,1397566,Communication Skills every Manager should Master,management-communication-skills,$109.99,"Powerful Communication Techniques to better Delegate, Communicate Decisions, Change Resistance, Say No & Admit Mistakes",True,Ramon,"MBA, Management & Leadership Coach, Author, Entrepreneur",Business
334,1400916,Ecommerce Dropshipping Home business: Shopify & Woocommerce,ecommerce-dropshipping-home-business-shopify-woocommerce,$89.99,"Ecommerce Dropshipping Passive income Home Business: Shopify & Woocommerce Website, Sell Hot Selling Niche Products",True,Jean-Gabriel,"19x Best Selling Instructor 59,000+ Students & Entrepreneur",Business
335,1612622,PMP Question Bank as per PMBOK6 with 2021 modifications,pmp-questions-pmbok6,$49.99,Questions on knowledge areas + a realistic timed 200 questions PMP practice exam aligned with PMBOK Guide 6th edition,True,Project,"Instructors certified PMP, PMI-RMP, PMI-ACP, CSM",Business
336,1519550,How to Buy your First House AND Save Thousands of Dollars!,how-to-save-thousands-of-dollars-buying-your-first-home,$89.99,"A Step-by-Step Guide to Buying Your First Home - Save Thousands Buying a Home using Real Examples, Real Contracts",True,Liam,"Real Estate Investor, Educator & Entrepreneur",Business
337,1561102,Blogging Masterclass: Turn Blogging Into A Full-Time Career,blogging-masterclass-turn-blogging-into-a-full-time-career,$89.99,"Start your own profitable online blog on your website, Medium, and Steemit - Take your blogging career to the next level",True,Leon,Entrepreneur & Bestselling Instructor,Business
338,1412662,"QuickBooks Pro Desktop 2021, 2020, 2019, & 2018",quickbooks-pro-2018-start-to-finish,$89.99,Comprehensive QuickBooks course that starts at the basics and moves forward in a well planned and understandable way,True,Robert (Bob),"CPA, CGMA, M.S. Tax, CPI",Business
339,1525644,AgilePM® Project Management - Foundation and Practitioner,agilepm-project-management-foundation-and-practitioner,$89.99,"Get an appreciation of Agile, Agility and  AgilePM® Project Management, a best practice for Agile project management.",True,SkillSolve,Putting Skills into Place - Expert Accredited Learning,Business
340,1475056,Recruiting Talent: How to find & attract the best candidates,recruiting-talent-how-to-find-attract-the-best-candidates,$89.99,"Optimize your recruiting efforts, find top talent, & make sure candidates are a perfect fit for your open positions",True,PracticalGrowth,"Practical, applicable courses for career growth",Business
341,1417868,Leading Effective 1-on-1 Meetings: Win loyalty and retention,leading-effective-1-on-1-meetings-win-loyalty-and-retention,$89.99,Learn how to structure and lead effective 1-on-1 meetings to boost results & benefit your job and career,True,PracticalGrowth,"Practical, applicable courses for career growth",Business
342,1396808,Solo Ad Secrets: Build A Private 100K+ Email Marketing List,solo-ad-mastery-secrets-build-a-private-100k-email-marketing-list,$89.99,"Solo ads aren't hard, but mastery of solo ads requires sales funnels, landing pages, tracking & some marketing know-how.",True,Zach,Sales Funnel Consultant & Builder,Business
343,1419028,"How to Start, Grow, and Monetize a YouTube Channel Fast",youtube-mastermind-how-to-grow-a-channel-audience,$89.99,"Learn YouTube Marketing, YouTube Audience Growth, Video Production, Video Editing, and Learn to Turn Videos into Income",True,Bryan,I Help People Start Home Businesses,Business
344,1426968,Onboarding New Employees: Increase retention and performance,onboarding-new-employees-increase-retention-and-performance,$89.99,Learn how to optimize your onboarding process to enable new hires to be productive and efficient as soon as they start,True,PracticalGrowth,"Practical, applicable courses for career growth",Business
345,1346900,THE PROBATE BLUEPRINT: Probate Real Estate Investing Course,the-probate-blueprint-real-estate-investing-master-class,$49.99,"Learn Probate Real Estate Investing For Profitable Flips, Rentals, & Wholesale Deals",True,Ben,Real Estate Expert | Landlord | House Flipper | Wholesaler,Business
346,1315492,Strategic Networking For Profitable Real Estate Deals,strategic-networking-for-profitable-real-estate-deals,$19.99,Unlocking A Supply Of Low-Competition Real Estate Deals Through Strategic Networking.,True,Ben,Real Estate Expert | Landlord | House Flipper | Wholesaler,Business
347,1300662,Format Professional Kindle Books Easily and Quickly,format-professional-kindle-books,$89.99,How to Easily Format Professional Kindle Ebooks - Template Makes It Faster - Readable Text - Clickable Table of Contents,True,Ian,"Kindle author. More than 100,000 students",Business
348,1424570,Customer Analytics in SPSS,customer-analytics-in-spss,$49.99,"Identify your best customers and increase response rates, customer loyalty and profits",True,Bogdan,University Teacher and Consultant,Business
349,1411850,Email Marketing Mastery: The Bible to Your Online Business,email-marketing-mastery-the-bible-to-online-business,$64.99,"Convert Your Leads into Buyers. Audience Marketing has never been easier. Become viral, social & loved by your audience.",True,Zach,Sales Funnel Consultant & Builder,Business
350,1412110,Cash & Kicks : A Beginners Guide To Reselling,cash-kicks,$89.99,How Anyone Can Cash In On The Billion Dollar Sneaker Business,True,Dwaine,Certified Reseller,Business
351,1341594,Oxford Diploma in (Pre-University) Business Fundamentals,egg-timer-igcse-business-studies,$19.99,Oxford Diploma in Business Fundamentals (+ Multiple choice tests and workbooks),True,Chris Bankes,"Best selling Instructor, author, actor...volunteer",Business
352,1342808,Management Coaching Employee Performance Coach Certification,management-coaching-become-an-employee-performance-coach,$89.99,"Set expectations, assess performance, provide feedback, increase productivity, develop employee potential",True,Joeel,"Top instructor with over 300,000 students",Business
353,1222642,Learn Tableau 10.2.1  Administration,learn-tableau-administration,$99.99,Tableau Server and Site Administration,True,Ram,Data Scientist,Business
354,1294196,How To Maximize Your First Two Years As A New Supervisor,new-supervisor,$19.99,Laying A Solid Leadership Foundation,True,Greg,"Speaker, Author, Leadership Coach",Business
355,1330484,Health & Safety and Food Safety for hospitality operators,health-safety-and-food-safety-for-hospitality-operators,$79.99,"Learn how to comply with H&S and FS Law, train your team effectively and protect your business from common risks",True,Anna,Restaurant set up and operations Expert,Business
356,1282672,How to Start and Scale a Shopify Dropshipping Store Quickly,shopify-drop-ship-mastery,$89.99,"Learn to Sell Other People's Products from Your Own Website - No Inventory, Start up Money, or Experience Needed at all!",True,Bryan,I Help People Start Home Businesses,Business
357,1089482,Become a master of client and account management,client-and-account-management,$89.99,"Learn how to effectively manage, retain and grow clients",True,Robert,Business coach and trainer,Business
358,987786,Power BI Desktop Masterclass - Data Analysis for Everyone,power-bi-desktop-masterclass-data-analysis-for-everyone,$89.99,"Master Power BI Desktop- Get, Transform, Model and visualize data like never before - Self Service Business Intelligence",True,Paula,"Microsoft MVP, CPA Accountant, & Life Long Learner",Business
359,1198108,Become A Full Stack Web Developer - Beginner To Advanced,fullstackwebdeveloper,$24.99,In this complete course you will learn step-by-step how to become a full stack web developer from scratch today!,True,Joe,"Top-Rated Instructor, 800,000+ Students",Business
360,1010608,Sales Psychology - Busting Buyer Beliefs That Stop Sales,sales-psychology-and-busting-buyer-beliefs-that-stop-sales,$74.99,The 7 Core Beliefs Your Buyers Have that YOU Need to Understand AND Overcome BEFORE they'll Buy From You,True,Darran,Transforming Your Business Growth Visions into Real Value,Business
361,1135004,Quick and Radical Tips on Selling - How to Sell like a Beast,short-radical-course-on-power-selling,$79.99,Learn How to sell better pitch better and achieve sales skills & better Sales for sales professionals and sales managers,True,Andrew PM,A Centurion of teaching entrepreneurship over academics.,Business
362,1068516,Infopreneur: Create Information Products and Online Courses,infopreneur-create-information-products-and-online-courses,$89.99,"Turn your knowledge, experience & passion into profits. Create, package & sell an information product or online course",True,Joeel,"Top instructor with over 300,000 students",Business
363,923292,Barriers & Breakthroughs Of Real Estate Wholesaling,barriers-breakthroughs-of-real-estate-wholesaling,$19.99,Reach Your Full Potential As A Real Estate Wholesaler By Breaking The Barriers That Are Holding You Back,True,Ben,Real Estate Expert | Landlord | House Flipper | Wholesaler,Business
364,933732,Venture Capital – The Ultimate Short Venture Capital Guide,venturecapital,$89.99,"How do venture capitalists think? Learn how to pitch your startup, apply for venture capital and write business plans.",True,Creative,✔ Professional online creative educatio,Business
365,965044,Creating a working environment based on RESPECT,creating-an-environment-based-on-respect,$44.99,"Equality, Diversity and Inclusion in the workplace",True,Skill,Films for a better workplace,Business
366,758990,Real Estate Investing for Beginners,real-estate-investing-for-beginners-with-under-30-wealth,$24.99,An A-Z Guide to Building Your Investment Business,True,Nick,Real Estate Educator,Business
367,789716,Email Marketing With Email Copywriting & Autoresponders,ultimate-cours-to-email-marketing-and-autoresponders,$89.99,Increase your email marketing list with every email marketing campaign using email workflow automation & email copywring,True,John,The Autoresponder Guy,Business
368,965194,Video Presentation & Public Speaking Skills: Complete Guide,video-presentation-skills-how-to-be-confident-on-camera,$89.99,Overcome fear of presenting. Gain Confidence. Develop communication skills. Learn Public Speaking and Video Presenting.,True,Jimmy,"Teaching 250,000+ people & 40,000+ TOP ratings",Business
369,739580,Intro to Business Law for Entrepreneurs (+Free Book!),introduction-to-business-law-for-entrepreneurs-mba-business-school,$49.99,How do I Protect My Family? What Type of Company to Register. Dealing with Investors. Patents. IPO. Ethics and More.,True,Chris,"Award Winning MBA Professor, Venture Capitalist and Author.",Business
370,848848,How To Build A Buzzfeed Style Blog On Wordpress,how-to-build-a-buzzfeed-style-blog-on-wordpress,$19.99,Learn the simple steps of building your very own Buzzfeed competitor and start earning easy income online now.,True,Daniel,"Entrepreneur, Professional Blogger, World Traveler",Business
